topic,Text
4,"I have now tried both the Ocean Fish and Tuna and the Duck and Chicken variety of this food.  My cat seems to prefer the taste of the duck and chicken a little better, but I will probably rotate them both because of the health benefits he's gotten (especially from the ocean fish and tuna) that have included a softer coat and less scratching and biting of himself and shedding.  Also, with this food, he doesn't drink much water, but still goes potty alot, so I feel good that he's getting plenty of fluids in his diet.  My only complaint with this brand, and why I only give it 4 stars, is that it has little pieces of potato? and whole peas in it, which my cat eats around and ends up being wasteful, which I don't like given the price.  Not that big of a deal, but it is a minor inconvenience that I have to clean leftover bits out after each feeding as opposed to just washing his empty bowl daily.  (In case you are wondering, it is approximately 4 to 6 whole pea/1.5 pea size potato? bits per 1/4 to 1/2 can.)"
2,"The Happy Baby Beef Stew was not much of a beef stew.  The second ingredient behind water was tomatoes and it was evident in the taste of the product.  It didn't seem to have even a trace taste of beef.  Because of the high tomato content, the stew was very acidic.  I was a bit disappointed by this product."
0,"Light, sweet and oh so good is how I would describe this tea. I first had it at a hotel at the complimentary breakfast and loved it so much, I went to Amazon and ordered more that same day."
3,I finally found a hot cocoa for the keurig that isn't too sweet. I made a cup the day it came in the mail and from the first sip I was hooked. From now on this will be the only hot cocoa I drink.
1,"I have always been somewhat of a soda aficionado since the days of Pepsi, Dr pepper etc. My grandparents owned a little corner grocery store so I'd get to try some of the new sodas that came out.  I really enjoyed Switch Soda .its something different. Taking juice, putting some carbonation in it. Almost in a vague way reminds me of those sparkling grape juice drinks you get around the holidays if you don't drink wine. Its very good. I would definitely buy it again. However the no sugar added part can be a bit ""misleading"" as you as the label states 33 grams per serving but it's only one serving per can but us diabetics should probably only drink this when we have low sugars like I just did bonus is no high fructose corn syrup which isn't very good anyhow. I liked this and would buy more to keep around the house the days I have my sugar lows as It didn't seem to be to overpowering to me. I liked the kiwi,berry as I am a fan of strawberry and kiwi both. I thought personally it was a very interesting soft drink . I really like this infusion stuff they have these days like Dr pepper put  cherry. chocolate diet one year ago and such. Switch kind if is like that. I personally prefer a fruited flavored carbonated beverage anyhow over say a plain cola type flavored one. I thought this was a change from the regular diet Pepsi and diet sierra mist i am used to drinking .I would pick these up if i seen them in a market or on here someday.  Only con I can really think of at the moment for a case off here its 22 bucks that is kinda steep for the economy were living in right now but if they sold them individual it be easier on the pocket book or pick one up in a store now and then when I see it. I really enjoyed the blends of the fruit flavor and the carbonation, like I mentioned it was really good and something different. I would definitely try this again."
0,"This product says that it contains Kava Kava to help with it's calm tea, but there is no Kava in it.  This is confirmed by the tea box set as well as Yogi Tea website.  I just thought I would make anyone else aware in case they were looking for a little supplemental Kava for their tea, but don't want the other Yogi tea with Kava in it."
3,"Unfortunately, I was disappointed with this chocolate--too heavily spiced and too sweet; not enough of that velvety, smooth pure chocolate that I prefer. I have 4 tins that I will give away to friends and family.  I'll be back and will let you know how they like it."
1,"Switch kiwi berry is very sweet, heavily flavored (almost overpoweringly so), and is lightly carbonated.  My husband said it was good, he'd drink it if it was free, but he wouldn't go out to buy it.  I'd say the same.  It was okay.<br /><br />I could taste a lot of grape flavoring that lingers along with a touch of apple.  I might even taste a tiny bit of kiwi, but I wouldn't describe the flavor as kiwi berry -- more like grape apple.<br /><br />Switch is too syrupy for me.  I'd prefer something more light and crisp."
4,"We started buying 100% meat diets on our vet's recommendation for getting our big fatty to lose weight on a ""catkins"" diet.  Cats are obligate carnivores, so feeding them other foods that contain rice, or lots of vegetables, really isn't in line with how their bodies have evolved.  The vet recommended Before Grain and Wysong, but my cats very clearly told me they like Before Grain much better.  They lap it up, have become a healthier weight (the fat one lost, the small one gained), and have had no tummy problems ever since they switched off Friskies and onto this!<br /><br />My understanding is that cats do need a few vitamins, since they do get some semi-digested vegetables from the guts of their prey.  We mix in some Wysong ""Call of the Wild"" into the meat.<br /><br />Surprisingly, they love quail.  Far more than chicken, and a bit more than turkey.  My understanding is that cats naturally eat small fowl and rodents, so quail is actually the closest to what they actually eat in the wild."
0,i got this tea hoping it would be better than my dieters delight china slim tea but it isnt. it does make you use the bathroom but not enough for you to feel cleansed for that particular day...i have no choice but to finish thus package but i will be going back to my regular tea afterwards
